id;name;description;color;icon;created_date
1;pessimistic spherical;omelet;pink;afford worthless ack;2025-08-29
2;rust extra-large;before inasmuch;green;hm vet unless;2025-08-28
3;except sting pro;indeed without;black;yippee typewriter consequently;2025-08-29
4;hassle phew;sans since augment;green;holster;2025-08-28
5;positively heavily;sugary;purple;likewise;2025-08-29
6;brr snappy though;quirkily whether;magenta;beyond mmm unhealthy;2025-08-28
7;near excepting until;abacus;orchid;yesterday whose redound;2025-08-29
8;yum;alert;purple;shampoo than makeover;2025-08-28
9;wombat;meager with lender;grey;how colon;2025-08-29
10;parsnip since;rowdy flint when;gold;far spear;2025-08-29
